,,,Overall,,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,Shots,,Defensive,,Faceoffs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Connor McDavid,EDM,20,F,82,41,67,108,26,20,21:32,17:28,2:57,1:05,35,5,1,7,2,49,15,3,8,3,84,20,4,15,5,18.5%,1.44,2.353,3.793,1.536,2.151,3.688,1.23,3.687,4.917,0.5,0.817,1.317,274,15.0%,28,46,376,533,41.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Claude Giroux,PHI,29,F,82,34,68,102,20,28,20:21,16:05,3:28,0:47,25,9,0,1,1,41,27,0,9,0,66,36,0,10,1,35.3%,1.194,2.388,3.582,1.098,1.8,2.898,1.897,5.69,7.586,0.415,0.829,1.244,193,17.6%,30,23,638,450,58.64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Nikita Kucherov,TBL,24,F,80,39,61,100,42,15,19:48,16:18,3:29,0:00,31,8,0,7,0,33,28,0,5,1,64,36,0,12,1,36.0%,1.404,2.196,3.6,1.395,1.485,2.88,1.728,6.048,7.776,0.488,0.763,1.25,279,14.0%,31,15,3,2,60.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Evgeni Malkin,PIT,31,F,78,42,56,98,87,16,18:59,15:15,3:40,0:04,28,14,0,7,2,32,24,0,8,2,60,38,0,15,4,38.8%,1.745,2.326,4.071,1.422,1.625,3.046,2.908,4.985,7.893,0.539,0.718,1.256,239,17.6%,48,32,460,592,43.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Nathan MacKinnon,COL,22,F,74,39,58,97,55,11,19:53,16:00,3:34,0:18,27,12,0,12,3,37,20,1,6,0,64,32,1,18,3,33.0%,1.518,2.257,3.775,1.314,1.8,3.114,2.744,4.573,7.316,0.527,0.784,1.311,284,13.7%,38,22,485,672,41.92%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Taylor Hall,NJD,26,F,76,39,54,93,34,14,19:07,16:07,2:54,0:06,25,13,1,7,3,30,24,0,12,2,55,37,1,19,5,39.8%,1.663,2.302,3.965,1.184,1.421,2.605,3.511,6.48,9.989,0.513,0.711,1.224,278,14.0%,72,44,72,76,48.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Anze Kopitar,LAK,30,F,82,35,57,92,20,21,22:05,17:01,2:53,2:10,28,7,0,6,0,35,20,2,10,5,63,27,2,16,5,29.3%,1.229,2.002,3.231,1.229,1.536,2.766,1.783,5.093,6.876,0.427,0.695,1.122,200,17.5%,50,64,983,833,54.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Phil Kessel,PIT,30,F,82,34,58,92,36,-4,18:41,14:53,3:46,0:01,22,12,0,6,3,28,30,0,10,4,50,42,0,16,7,45.7%,1.343,2.292,3.635,1.062,1.352,2.415,2.317,5.796,8.113,0.415,0.707,1.122,261,13.0%,10,17,6,13,31.58%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Blake Wheeler,WPG,31,F,81,23,68,91,52,13,20:14,15:48,3:08,1:17,17,6,0,2,0,32,34,2,10,0,49,40,2,12,0,44.0%,0.818,2.418,3.236,0.831,1.565,2.395,1.414,8.01,9.422,0.284,0.84,1.124,246,9.4%,94,66,166,196,45.86%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
